system_time,axis_1_position_mm
20:11:23.631105,-0.000100
20:11:23.634769,-0.000300
20:11:23.638650,-0.000700
20:11:23.642595,-0.001200
20:11:23.646239,-0.001800
20:11:23.649795,-0.002500
20:11:23.653800,-0.003500
20:11:23.659449,-0.004600
20:11:23.661933,-0.005800
20:11:23.664780,-0.007000
20:11:23.676855,-0.008500
20:11:23.708574,-0.020800
20:11:23.755962,-0.062400
20:11:23.788788,-0.126100
20:11:23.818705,-0.171900
20:11:23.854005,-0.246000
20:11:23.881853,-0.315200
20:11:23.929364,-0.407400
20:11:23.954250,-0.502600
20:11:23.992873,-0.619000
20:11:24.024698,-0.723900
20:11:24.056701,-0.890600
20:11:24.088076,-1.010400
20:11:24.119464,-1.179700
20:11:24.151080,-1.354600
20:11:24.183331,-1.536400
20:11:24.230284,-1.716400
20:11:24.262245,-1.908800
20:11:24.296567,-2.213900
20:11:24.341236,-2.427400
20:11:24.373010,-2.725100
20:11:24.420347,-3.011500
20:11:24.452288,-3.375700
20:11:24.499998,-3.662500
20:11:24.547495,-4.078400
20:11:24.578924,-4.371100
20:11:24.626478,-4.826100
20:11:24.673755,-5.297600
20:11:24.720890,-5.768500
20:11:24.768452,-6.241600
20:11:24.816317,-6.722400
20:11:24.847991,-7.157100
20:11:24.894924,-7.510000
20:11:24.942177,-7.980500
20:11:24.989632,-8.452400
20:11:25.037081,-8.926800
20:11:25.084995,-9.409200
20:11:25.132804,-9.883400
20:11:25.180410,-10.363100
20:11:25.212085,-10.680300
20:11:25.259788,-11.152300
20:11:25.307116,-11.629300
20:11:25.354516,-12.105300
20:11:25.386086,-12.420700
20:11:25.433490,-12.893800
20:11:25.480925,-13.369200
20:11:25.528372,-13.840601
20:11:25.560471,-14.320300
20:11:25.607941,-14.639700
20:11:25.654860,-15.111200
20:11:25.702046,-15.580499
20:11:25.749115,-16.050200
20:11:25.796641,-16.514500
20:11:25.844056,-16.997200
20:11:25.891782,-17.478600
20:11:25.939367,-17.952100
20:11:25.987036,-18.430701
20:11:26.034322,-18.900600
20:11:26.081972,-19.377600
20:11:26.129033,-19.850101
20:11:26.176826,-20.327100
20:11:26.223986,-20.801900
20:11:26.271188,-21.271201
20:11:26.302912,-21.588901
20:11:26.350264,-22.060899
20:11:26.397652,-22.537399
20:11:26.444744,-23.007201
20:11:26.492725,-23.486501
20:11:26.540469,-23.949600
20:11:26.587787,-24.438699
20:11:26.635383,-24.910699
20:11:26.682862,-25.381000
20:11:26.731063,-25.829700
20:11:26.762901,-26.255200
20:11:26.809944,-26.522501
20:11:26.857110,-26.904599
20:11:26.904638,-27.245499
20:11:26.953177,-27.603799
20:11:27.000205,-27.927802
20:11:27.050196,-28.243799
20:11:27.102760,-28.535901
20:11:27.150494,-28.782901
20:11:27.198374,-29.006799
20:11:27.245570,-29.206201
20:11:27.277371,-29.355399
20:11:27.324784,-29.490701
20:11:27.372776,-29.631201
20:11:27.420643,-29.749799
20:11:27.467641,-29.844400
20:11:27.515184,-29.916400
20:11:27.548042,-29.967099
20:11:27.593773,-29.987601
20:11:27.641670,-30.000000
system_time,axis_1_position_mm
20:11:27.847806,-29.940799
20:11:27.894972,-29.878400
20:11:27.942039,-29.793900
20:11:27.989657,-29.685501
20:11:28.036935,-29.555801
20:11:28.100242,-29.351700
20:11:28.147469,-29.165701
20:11:28.194818,-28.960599
20:11:28.242062,-28.734399
20:11:28.289800,-28.483701
20:11:28.321322,-28.211801
20:11:28.384890,-27.914001
20:11:28.432116,-27.597699
20:11:28.479994,-27.254199
20:11:28.527285,-26.892899
20:11:28.574302,-26.511200
20:11:28.605908,-26.242200
20:11:28.653485,-25.819400
20:11:28.700763,-25.375101
20:11:28.748315,-24.907800
20:11:28.796033,-24.430701
20:11:28.827558,-23.977299
20:11:28.874476,-23.644501
20:11:28.922154,-23.174600
20:11:28.969576,-22.697000
20:11:29.016547,-22.223100
20:11:29.048815,-21.753200
20:11:29.095276,-21.436600
20:11:29.142774,-20.962700
20:11:29.190541,-20.484000
20:11:29.237928,-20.011301
