system_time,axis_1_position_mm
20:41:51.525307,-17.687900
20:41:51.548843,-17.685800
20:41:51.551012,-17.684900
20:41:51.555855,-17.683800
20:41:51.558632,-17.682600
20:41:51.564879,-17.681300
20:41:51.566556,-17.679700
20:41:51.570354,-17.678101
20:41:51.573992,-17.676401
20:41:51.577541,-17.674699
20:41:51.581188,-17.672800
20:41:51.586856,-17.670700
20:41:51.588989,-17.668500
20:41:51.594426,-17.666100
20:41:51.596847,-17.663499
20:41:51.599635,-17.660899
20:41:51.603159,-17.658200
20:41:51.606709,-17.655299
20:41:51.611865,-17.652400
20:41:51.614032,-17.649200
20:41:51.619978,-17.645599
20:41:51.621659,-17.642200
20:41:51.659855,-17.600999
20:41:51.706274,-17.537700
20:41:51.753868,-17.465500
20:41:51.786594,-17.353600
20:41:51.833523,-17.218201
20:41:51.865072,-17.127100
20:41:51.896782,-17.019701
20:41:51.944269,-16.884200
20:41:51.975736,-16.725999
20:41:52.007239,-16.590601
20:41:52.054669,-16.379401
20:41:52.086320,-16.220100
20:41:52.133740,-15.982100
20:41:52.165197,-15.825999
20:41:52.196711,-15.669099
20:41:52.243249,-15.430600
20:41:52.274484,-15.231200
20:41:52.321555,-15.043500
20:41:52.368085,-14.810201
20:41:52.399299,-14.629100
20:41:52.446638,-14.421100
20:41:52.478292,-14.214101
20:41:52.524577,-14.026401
20:41:52.571706,-13.793401
20:41:52.602929,-13.637500
20:41:52.650319,-13.401900
20:41:52.698211,-13.161600
20:41:52.729948,-13.001601
20:41:52.777032,-12.765400
20:41:52.824794,-12.527700
20:41:52.856771,-12.304600
20:41:52.904434,-12.129900
20:41:52.952447,-11.890700
20:41:52.999838,-11.654000
20:41:53.047491,-11.418400
20:41:53.095013,-11.177800
20:41:53.142073,-10.941700
20:41:53.189349,-10.707100
20:41:53.222541,-10.467800
20:41:53.268645,-10.308600
20:41:53.316616,-10.071100
20:41:53.364028,-9.832400
20:41:53.411367,-9.594600
20:41:53.443103,-9.379100
20:41:53.490269,-9.199800
20:41:53.537938,-8.962100
20:41:53.585231,-8.726000
20:41:53.632939,-8.487500
20:41:53.680896,-8.248700
20:41:53.728037,-8.011800
20:41:53.775363,-7.777000
20:41:53.823330,-7.535900
20:41:53.870853,-7.298500
20:41:53.902552,-7.060500
20:41:53.966320,-6.821500
20:41:54.014196,-6.582200
20:41:54.061487,-6.346100
20:41:54.108918,-6.106800
20:41:54.156639,-5.868300
20:41:54.204437,-5.631700
20:41:54.252238,-5.392600
20:41:54.299630,-5.153100
20:41:54.347204,-4.917200
20:41:54.379191,-4.756700
20:41:54.426569,-4.517600
20:41:54.474190,-4.283000
20:41:54.521831,-4.043500
20:41:54.569154,-3.807100
20:41:54.616600,-3.569400
20:41:54.663807,-3.333000
20:41:54.711564,-3.096400
20:41:54.758534,-2.858700
20:41:54.790362,-2.665800
20:41:54.836832,-2.467400
20:41:54.884396,-2.231600
20:41:54.930987,-1.995700
20:41:54.978967,-1.759200
20:41:55.026303,-1.520800
20:41:55.074076,-1.281000
20:41:55.121476,-1.026400
20:41:55.169333,-0.806400
20:41:55.216662,-0.570500
