system_time,axis_1_position_mm
15:01:00.860833,0.000000
15:01:00.866559,-0.000200
15:01:00.870475,-0.000500
15:01:00.874066,-0.000800
15:01:00.877584,-0.001400
15:01:00.883402,-0.002000
15:01:00.886600,-0.002800
15:01:00.888156,-0.003700
15:01:00.891811,-0.004800
15:01:00.895429,-0.006000
15:01:00.899097,-0.007200
15:01:00.902865,-0.008800
15:01:00.906602,-0.010400
15:01:00.910252,-0.012200
15:01:00.913858,-0.014000
15:01:00.917873,-0.016100
15:01:00.921473,-0.018200
15:01:00.925166,-0.020500
15:01:00.929793,-0.023000
15:01:00.932478,-0.025500
15:01:00.936113,-0.028200
15:01:00.939727,-0.030800
15:01:00.945787,-0.033700
15:01:00.949310,-0.036700
15:01:00.950407,-0.040000
15:01:00.954107,-0.043200
15:01:00.957609,-0.046600
15:01:00.963489,-0.050200
15:01:00.964952,-0.053900
15:01:00.968596,-0.057800
15:01:00.972213,-0.061700
15:01:00.977251,-0.065700
15:01:00.980342,-0.069800
15:01:00.982869,-0.074200
15:01:00.986648,-0.078900
15:01:00.990344,-0.083500
15:01:00.993952,-0.088300
15:01:00.997574,-0.093300
15:01:01.001165,-0.098100
15:01:01.004736,-0.103100
15:01:01.008265,-0.108400
15:01:01.013318,-0.114300
15:01:01.015928,-0.119900
15:01:01.019552,-0.125400
15:01:01.024978,-0.131100
15:01:01.026656,-0.137000
15:01:01.030274,-0.143100
15:01:01.033875,-0.149200
15:01:01.039913,-0.155400
15:01:01.042706,-0.162300
15:01:01.044805,-0.168800
15:01:01.048483,-0.175500
15:01:01.052088,-0.182500
15:01:01.055704,-0.190800
15:01:01.060056,-0.198000
15:01:01.063729,-0.205400
15:01:01.067318,-0.212600
15:01:01.070922,-0.220300
15:01:01.076797,-0.228600
15:01:01.079068,-0.236700
15:01:01.082310,-0.244500
15:01:01.086809,-0.252400
15:01:01.089419,-0.261100
15:01:01.093209,-0.269600
15:01:01.096910,-0.278300
15:01:01.102546,-0.286600
15:01:01.105884,-0.295800
15:01:01.109986,-0.304900
15:01:01.111641,-0.314300
15:01:01.115316,-0.323300
15:01:01.118919,-0.332400
15:01:01.122528,-0.342000
15:01:01.126206,-0.351900
15:01:01.129945,-0.361400
15:01:01.133594,-0.371500
15:01:01.137624,-0.382300
15:01:01.141194,-0.392300
15:01:01.144776,-0.402400
15:01:01.149444,-0.412900
15:01:01.152100,-0.423600
15:01:01.155756,-0.434200
15:01:01.159364,-0.444700
15:01:01.165445,-0.455600
15:01:01.169269,-0.467900
15:01:01.170758,-0.479600
15:01:01.174406,-0.490900
15:01:01.178007,-0.502700
15:01:01.181743,-0.514100
15:01:01.185349,-0.525700
15:01:01.188976,-0.537400
15:01:01.192499,-0.549400
15:01:01.196146,-0.561900
15:01:01.200169,-0.574700
15:01:01.203759,-0.587100
15:01:01.207356,-0.599900
15:01:01.214104,-0.615000
15:01:01.218144,-0.628300
15:01:01.222196,-0.643000
15:01:01.225228,-0.657600
15:01:01.227339,-0.670900
15:01:01.231394,-0.685800
15:01:01.234993,-0.699000
15:01:01.238586,-0.712400
15:01:01.243202,-0.726200
15:01:01.245815,-0.740200
15:01:01.251618,-0.754900
15:01:01.253190,-0.768600
15:01:01.259251,-0.782900
15:01:01.261603,-0.797800
15:01:01.264164,-0.812400
15:01:01.267765,-0.827000
15:01:01.271375,-0.842100
15:01:01.275031,-0.857000
15:01:01.278721,-0.872500
15:01:01.282444,-0.887900
15:01:01.286101,-0.903300
15:01:01.290777,-0.919100
15:01:01.295838,-0.936500
15:01:01.298886,-0.952100
15:01:01.301104,-0.968000
15:01:01.306663,-0.983700
15:01:01.308212,-0.999600
15:01:01.311827,-1.016200
15:01:01.315462,-1.032100
15:01:01.319090,-1.048500
15:01:01.324149,-1.066000
15:01:01.326434,-1.082900
15:01:01.330123,-1.100000
15:01:01.333780,-1.117700
15:01:01.338522,-1.135200
15:01:01.341129,-1.151900
15:01:01.344653,-1.169100
15:01:01.348278,-1.186800
15:01:01.354428,-1.204500
15:01:01.356909,-1.224300
15:01:01.359549,-1.242700
15:01:01.363257,-1.261200
15:01:01.366988,-1.279500
15:01:01.370626,-1.297600
15:01:01.374337,-1.315900
15:01:01.377831,-1.333900
15:01:01.381444,-1.351900
15:01:01.386589,-1.370300
15:01:01.391080,-1.388600
15:01:01.392423,-1.407400
15:01:01.396234,-1.426200
15:01:01.400908,-1.444300
15:01:01.403519,-1.462000
15:01:01.407133,-1.480300
15:01:01.410762,-1.498400
15:01:01.416889,-1.516400
15:01:01.418401,-1.536500
15:01:01.422025,-1.555100
15:01:01.425650,-1.572700
15:01:01.429217,-1.590200
15:01:01.432734,-1.609000
15:01:01.436517,-1.627600
15:01:01.440247,-1.645900
15:01:01.443915,-1.663700
15:01:01.448893,-1.681200
15:01:01.453404,-1.699200
15:01:01.454540,-1.717200
15:01:01.458140,-1.737100
15:01:01.464627,-1.755200
15:01:01.466029,-1.774500
15:01:01.469614,-1.792600
15:01:01.473248,-1.810900
15:01:01.476832,-1.829500
15:01:01.480872,-1.848800
15:01:01.484472,-1.866800
15:01:01.488118,-1.885100
15:01:01.491694,-1.902900
15:01:01.496268,-1.920900
15:01:01.498908,-1.938800
15:01:01.502455,-1.956800
15:01:01.506074,-1.974600
15:01:01.511608,-1.992600
15:01:01.558420,-2.153800
15:01:01.605223,-2.388000
15:01:01.652416,-2.620900
15:01:01.699126,-2.856900
15:01:01.746091,-3.090600
15:01:01.792857,-3.325200
15:01:01.839805,-3.559200
15:01:01.886597,-3.794400
15:01:01.933522,-4.028400
15:01:01.980219,-4.264200
15:01:02.027253,-4.496600
15:01:02.074003,-4.731400
15:01:02.121758,-4.969000
15:01:02.169225,-5.205400
15:01:02.216610,-5.444300
15:01:02.263691,-5.679100
15:01:02.311419,-5.916600
15:01:02.358759,-6.153000
15:01:02.406991,-6.393500
15:01:02.454556,-6.631600
15:01:02.502312,-6.872700
15:01:02.549536,-7.107900
15:01:02.597328,-7.345500
15:01:02.644737,-7.582100
15:01:02.692103,-7.821500
15:01:02.739517,-8.057000
15:01:02.786879,-8.295000
15:01:02.834263,-8.530000
15:01:02.882074,-8.769700
15:01:02.929658,-9.007200
15:01:02.977066,-9.246700
15:01:03.024696,-9.482300
15:01:03.071969,-9.720700
15:01:03.119338,-9.955700
15:01:03.166951,-10.193900
15:01:03.214605,-10.432000
15:01:03.261803,-10.670400
15:01:03.309384,-10.907800
15:01:03.357600,-11.146500
15:01:03.405327,-11.384900
15:01:03.453104,-11.624800
15:01:03.500523,-11.863700
15:01:03.548279,-12.100300
15:01:03.595699,-12.339500
15:01:03.643262,-12.575000
15:01:03.690577,-12.813901
15:01:03.737868,-13.048199
15:01:03.785542,-13.288600
15:01:03.833133,-13.524699
15:01:03.880607,-13.763600
15:01:03.928190,-13.999600
15:01:03.975476,-14.238600
15:01:04.022810,-14.473100
15:01:04.070087,-14.710899
15:01:04.117672,-14.947501
15:01:04.165341,-15.187801
15:01:04.212843,-15.423599
15:01:04.260997,-15.663499
15:01:04.308647,-15.903400
15:01:04.355485,-16.138800
15:01:04.403199,-16.376199
15:01:04.450969,-16.613300
15:01:04.498728,-16.854300
15:01:04.546511,-17.091100
15:01:04.594326,-17.332401
15:01:04.641787,-17.567400
15:01:04.689334,-17.807100
15:01:04.736919,-18.043700
15:01:04.784725,-18.283900
15:01:04.832084,-18.519701
15:01:04.879826,-18.760001
15:01:04.927031,-18.994200
15:01:04.974459,-19.232600
15:01:05.021941,-19.468401
15:01:05.069174,-19.706000
15:01:05.117260,-19.944901
15:01:05.164530,-20.183800
15:01:05.212192,-20.420900
15:01:05.259920,-20.660600
15:01:05.307620,-20.897400
15:01:05.355376,-21.139000
15:01:05.402464,-21.373700
15:01:05.448858,-21.605600
15:01:05.496258,-21.840100
15:01:05.543085,-22.077200
15:01:05.590086,-22.310100
15:01:05.637509,-22.549100
15:01:05.684990,-22.785400
15:01:05.732584,-23.022200
15:01:05.780335,-23.263200
15:01:05.828269,-23.499300
15:01:05.876000,-23.740500
15:01:05.923379,-23.975000
15:01:05.970888,-24.215199
15:01:06.018306,-24.450000
15:01:06.065952,-24.689700
15:01:06.113469,-24.927299
15:01:06.160487,-25.163200
15:01:06.207548,-25.397099
15:01:06.254936,-25.635999
15:01:06.302111,-25.870801
15:01:06.349311,-26.107101
15:01:06.396624,-26.342700
15:01:06.444044,-26.579501
15:01:06.491821,-26.817401
15:01:06.539293,-27.057300
