system_time,axis_1_position_mm
19:39:13.045375,0.000000
19:39:13.180643,-0.080500
19:39:13.306802,-0.335900
19:39:13.433363,-0.697200
19:39:13.559594,-1.319400
19:39:13.701393,-2.059400
19:39:13.835145,-3.069200
19:39:13.985545,-4.282600
19:39:14.128037,-5.665800
19:39:14.254215,-6.982900
19:39:14.383898,-8.362400
19:39:14.522794,-9.629900
19:39:14.664529,-11.047400
19:39:14.806850,-12.466500
19:39:14.949884,-13.899300
19:39:15.077004,-15.266701
19:39:15.219689,-16.594200
19:39:15.362418,-18.022701
19:39:15.504914,-19.447900
19:39:15.647162,-20.867599
19:39:15.789907,-22.300400
19:39:15.931637,-23.718500
19:39:16.073275,-25.134900
19:39:16.214989,-26.432599
19:39:16.341100,-27.463901
19:39:16.482492,-28.333801
19:39:16.624140,-29.050800
19:39:16.766418,-29.569199
19:39:16.908434,-29.884900
19:39:17.050393,-29.999600
system_time,axis_1_position_mm
19:39:17.366445,-29.922299
19:39:17.508209,-29.645499
19:39:17.650715,-29.166699
19:39:17.792303,-28.485501
19:39:17.934488,-27.602200
19:39:18.077548,-26.510199
19:39:18.219376,-25.222301
19:39:18.362777,-23.790199
19:39:18.504557,-22.373399
19:39:18.646582,-20.957800
19:39:18.787289,-19.545599
19:39:18.928843,-18.129900
19:39:19.071321,-16.706000
19:39:19.213447,-15.288800
19:39:19.340977,-13.866600
19:39:19.496504,-12.453000
19:39:19.622664,-11.035300
19:39:19.779649,-9.620700
19:39:19.921594,-8.204000
19:39:20.063824,-6.781300
19:39:20.205783,-5.362900
19:39:20.348033,-3.942900
19:39:20.489121,-2.527800
19:39:20.631558,-1.102800
19:39:20.758033,0.317100
19:39:20.900301,1.584400
19:39:21.026435,2.959900
19:39:21.152993,4.268000
19:39:21.294817,5.684600
19:39:21.421348,6.892500
19:39:21.547619,8.104100
19:39:21.672839,9.309200
19:39:21.814721,10.729200
19:39:21.956995,12.146100
19:39:22.098981,13.573300
19:39:22.240486,14.986099
19:39:22.381859,16.399500
19:39:22.507429,17.654700
19:39:22.633934,19.076900
19:39:22.775675,20.338200
19:39:22.902050,21.758800
19:39:23.044265,23.022800
19:39:23.171570,24.442900
19:39:23.313496,25.777100
19:39:23.456034,26.909500
19:39:23.582351,27.825000
19:39:23.708368,28.576901
19:39:23.834048,29.197900
19:39:24.023894,29.646500
19:39:24.149867,29.970099
system_time,axis_1_position_mm
19:39:24.416990,29.956400
19:39:24.559015,29.724100
19:39:24.685177,29.302600
19:39:24.811798,28.762601
19:39:24.954078,28.017001
19:39:25.097115,27.010400
19:39:25.222892,25.875101
19:39:25.361013,24.588400
19:39:25.507745,23.164700
19:39:25.650041,21.744000
19:39:25.791218,20.327200
19:39:25.933267,18.905800
19:39:26.074828,17.490401
19:39:26.215883,16.080000
19:39:26.358169,14.661400
19:39:26.499930,13.238400
19:39:26.641705,11.820900
19:39:26.783345,10.403900
19:39:26.925153,8.988100
19:39:27.067570,7.563900
19:39:27.209808,6.141500
19:39:27.335841,4.813000
19:39:27.477491,3.582400
19:39:27.619436,2.482000
19:39:27.761341,1.585200
19:39:27.903147,0.885400
19:39:28.044844,0.389200
19:39:28.186904,0.094400
19:39:28.329547,0.000000
