system_time,axis_1_position_mm
20:08:28.765537,0.000000
20:08:28.890074,-0.079800
20:08:29.016334,-0.321700
20:08:29.144524,-0.722800
20:08:29.302950,-1.374200
20:08:29.432748,-2.228800
20:08:29.588581,-3.282900
20:08:29.730640,-4.534600
20:08:29.872839,-5.942100
20:08:30.015460,-7.368900
20:08:30.158958,-8.801600
20:08:30.302213,-10.233400
20:08:30.445255,-11.661800
20:08:30.588784,-13.099699
20:08:30.715816,-14.523100
20:08:30.873193,-15.947200
20:08:31.014956,-17.362399
20:08:31.157958,-18.791901
20:08:31.300544,-20.219200
20:08:31.442959,-21.644299
20:08:31.585959,-23.071600
20:08:31.713102,-24.344099
20:08:31.855212,-25.736401
20:08:31.998515,-26.957001
20:08:32.138899,-27.959000
20:08:32.278182,-28.751501
20:08:32.416030,-29.341699
20:08:32.554236,-29.748901
20:08:32.689902,-29.961301
system_time,axis_1_position_mm
20:08:32.997437,-29.926001
20:08:33.134484,-29.662601
20:08:33.274427,-29.201300
20:08:33.414174,-28.550601
20:08:33.522548,-27.849100
20:08:33.660650,-26.915302
20:08:33.784520,-25.794400
20:08:33.924452,-24.515300
20:08:34.063764,-23.117900
20:08:34.200463,-21.743500
20:08:34.339068,-20.357100
20:08:34.476175,-18.986200
20:08:34.614850,-17.611099
20:08:34.752639,-16.222400
20:08:34.887983,-14.838600
20:08:35.030425,-13.453101
20:08:35.169521,-12.063400
20:08:35.306185,-10.686900
20:08:35.443851,-9.309600
20:08:35.584696,-7.911500
20:08:35.720797,-6.540000
20:08:35.858054,-5.172200
20:08:35.996368,-3.792900
20:08:36.135677,-2.401600
20:08:36.274217,-1.016400
20:08:36.414777,0.390600
20:08:36.553851,1.785500
20:08:36.692585,3.176900
20:08:36.832208,4.572700
20:08:36.971319,5.967500
20:08:37.110370,7.355100
20:08:37.278954,9.079200
20:08:37.419568,10.436400
20:08:37.559427,11.844200
20:08:37.696474,13.216499
20:08:37.835084,14.602901
20:08:37.973822,15.990500
20:08:38.114418,17.386800
20:08:38.253888,18.786099
20:08:38.393849,20.188600
20:08:38.524819,21.580000
20:08:38.674545,22.986301
20:08:38.814458,24.389799
20:08:38.944746,25.759399
20:08:39.093398,26.947299
20:08:39.233053,27.934100
20:08:39.373107,28.741199
20:08:39.510555,29.336600
20:08:39.683242,29.814801
20:08:39.821988,29.985501
system_time,axis_1_position_mm
20:08:40.147643,29.906500
20:08:40.270230,29.645801
20:08:40.407963,29.211499
20:08:40.547935,28.562500
20:08:40.689059,27.706601
20:08:40.827663,26.671899
20:08:40.967413,25.424800
20:08:41.104182,24.068700
20:08:41.243841,22.669200
20:08:41.384613,21.272099
20:08:41.521910,19.889400
20:08:41.662029,18.492700
20:08:41.801489,17.102800
20:08:41.940922,15.698599
20:08:42.069814,14.290800
20:08:42.220823,12.900900
20:08:42.359746,11.519800
20:08:42.498602,10.127700
20:08:42.636351,8.744900
20:08:42.777906,7.337900
20:08:42.916543,5.951800
20:08:43.053042,4.586800
20:08:43.191276,3.359700
20:08:43.332964,2.338000
20:08:43.471627,1.453100
20:08:43.610203,0.806800
20:08:43.749484,0.341700
20:08:43.888246,0.076400
20:08:44.025962,0.000000
