system_time,axis_1_position_mm
20:27:31.860835,-0.000200
20:27:31.863921,-0.000400
20:27:31.867464,-0.000900
20:27:31.871717,-0.001600
20:27:31.875891,-0.002400
20:27:31.880011,-0.003500
20:27:31.884221,-0.004700
20:27:31.888343,-0.006000
20:27:31.892510,-0.007500
20:27:31.897593,-0.009100
20:27:31.900688,-0.010900
20:27:31.904770,-0.013000
20:27:31.911374,-0.015100
20:27:31.913002,-0.017500
20:27:31.917153,-0.020000
20:27:31.921201,-0.022600
20:27:31.927280,-0.025400
20:27:31.929320,-0.028400
20:27:31.933366,-0.031500
20:27:31.937433,-0.034800
20:27:31.943009,-0.038400
20:27:31.945561,-0.041800
20:27:31.949341,-0.045300
20:27:31.953052,-0.048900
20:27:31.958790,-0.052500
20:27:31.960821,-0.057300
20:27:31.965061,-0.061500
20:27:31.968850,-0.065700
20:27:31.974916,-0.069900
20:27:31.976497,-0.074900
20:27:31.980517,-0.079900
20:27:31.984296,-0.084700
20:27:31.990544,-0.089600
20:27:31.992084,-0.095100
20:27:31.995875,-0.100400
20:27:31.999661,-0.105900
20:27:32.003451,-0.111500
20:27:32.007212,-0.117100
20:27:32.010964,-0.122800
20:27:32.014636,-0.128600
20:27:32.018326,-0.134600
20:27:32.023869,-0.142300
20:27:32.026712,-0.148900
20:27:32.030489,-0.155500
20:27:32.034212,-0.161900
20:27:32.037919,-0.169200
20:27:32.041856,-0.176400
20:27:32.045913,-0.184200
20:27:32.049975,-0.192200
20:27:32.054103,-0.200500
20:27:32.058230,-0.208300
20:27:32.062152,-0.216800
20:27:32.066273,-0.225400
20:27:32.070388,-0.234300
20:27:32.074499,-0.243200
20:27:32.078603,-0.252400
20:27:32.085245,-0.261700
20:27:32.086772,-0.270800
20:27:32.090692,-0.279800
20:27:32.094459,-0.288800
20:27:32.098197,-0.298000
20:27:32.101960,-0.307100
20:27:32.105791,-0.316600
20:27:32.109531,-0.326000
20:27:32.113242,-0.335500
20:27:32.117321,-0.346000
20:27:32.121012,-0.356000
20:27:32.124732,-0.365900
20:27:32.128418,-0.376000
20:27:32.132113,-0.386300
20:27:32.135867,-0.396700
20:27:32.139573,-0.407600
20:27:32.143371,-0.418200
20:27:32.147405,-0.430600
20:27:32.151374,-0.441400
20:27:32.155032,-0.452500
20:27:32.158745,-0.463900
20:27:32.162572,-0.476400
20:27:32.166549,-0.488200
20:27:32.170318,-0.499600
20:27:32.173982,-0.511400
20:27:32.178709,-0.523600
20:27:32.181500,-0.536100
20:27:32.185419,-0.548900
20:27:32.189198,-0.561200
20:27:32.194428,-0.573800
20:27:32.196733,-0.586900
20:27:32.200509,-0.599800
20:27:32.204233,-0.612700
20:27:32.209951,-0.625700
20:27:32.211700,-0.639600
20:27:32.215583,-0.653100
20:27:32.219310,-0.666700
20:27:32.223026,-0.680300
20:27:32.226745,-0.694800
20:27:32.230749,-0.709100
20:27:32.234497,-0.723200
20:27:32.238238,-0.737500
20:27:32.242309,-0.753400
20:27:32.246139,-0.768100
20:27:32.249861,-0.783000
20:27:32.253625,-0.797700
20:27:32.257411,-0.813900
20:27:32.261436,-0.829400
20:27:32.265176,-0.844900
20:27:32.268914,-0.860100
20:27:32.274262,-0.879000
20:27:32.277247,-0.895000
20:27:32.280943,-0.910600
20:27:32.284660,-0.926700
20:27:32.288375,-0.943100
20:27:32.292234,-0.959600
20:27:32.295965,-0.975700
20:27:32.299651,-0.992100
20:27:32.303671,-1.010800
20:27:32.307574,-1.027800
20:27:32.311282,-1.044900
20:27:32.315054,-1.063500
20:27:32.319041,-1.080900
20:27:32.322847,-1.098000
20:27:32.326473,-1.115100
20:27:32.330118,-1.132400
20:27:32.335280,-1.149600
20:27:32.337468,-1.167900
20:27:32.341206,-1.185700
20:27:32.344835,-1.203600
20:27:32.350993,-1.221300
20:27:32.352340,-1.241700
20:27:32.356353,-1.261100
20:27:32.360126,-1.279900
20:27:32.366372,-1.298800
20:27:32.367827,-1.318800
20:27:32.371705,-1.338700
20:27:32.375770,-1.359100
20:27:32.382329,-1.379200
20:27:32.383914,-1.399800
20:27:32.387953,-1.419700
20:27:32.391958,-1.439800
20:27:32.397503,-1.461200
20:27:32.400256,-1.481600
20:27:32.404324,-1.501700
20:27:32.408358,-1.522100
20:27:32.413425,-1.542200
20:27:32.416507,-1.561800
20:27:32.420243,-1.580300
