system_time,axis_1_position_mm
19:54:14.842531,-0.000100
19:54:14.968813,-0.069000
19:54:15.095127,-0.288600
19:54:15.221498,-0.723800
19:54:15.365003,-1.359600
19:54:15.505393,-2.203600
19:54:15.647613,-3.125100
19:54:15.789901,-4.348700
19:54:15.931296,-5.746000
19:54:16.073993,-7.169300
19:54:16.216253,-8.595600
19:54:16.358449,-10.014100
19:54:16.500141,-11.434400
19:54:16.626484,-12.803200
19:54:16.768854,-14.120000
19:54:16.910516,-15.536301
19:54:17.052758,-16.956400
19:54:17.194734,-18.380400
19:54:17.336410,-19.796800
19:54:17.478958,-21.221899
19:54:17.621267,-22.646001
19:54:17.763479,-24.061200
19:54:17.905616,-25.472501
19:54:18.047256,-26.724799
19:54:18.189120,-27.771899
19:54:18.331005,-28.618701
19:54:18.473577,-29.265500
19:54:18.615342,-29.708701
19:54:18.757431,-29.950201
system_time,axis_1_position_mm
19:54:19.024434,-29.969800
19:54:19.166285,-29.759601
19:54:19.308563,-29.346701
19:54:19.451370,-28.728799
19:54:19.592960,-27.912100
19:54:19.719588,-26.996399
19:54:19.861540,-25.818301
19:54:20.004066,-24.426601
19:54:20.147323,-22.992700
19:54:20.289398,-21.577200
19:54:20.416037,-20.308701
19:54:20.559589,-18.874800
19:54:20.702474,-17.446100
19:54:20.844491,-16.022600
19:54:20.987682,-14.591000
19:54:21.129267,-13.175400
19:54:21.272473,-11.744800
19:54:21.398246,-10.379900
19:54:21.540558,-9.060800
19:54:21.682373,-7.643600
19:54:21.824841,-6.219100
19:54:21.967052,-4.797500
19:54:22.108923,-3.374600
19:54:22.251011,-1.956500
19:54:22.393529,-0.532400
19:54:22.536314,0.894600
19:54:22.679244,2.325200
19:54:22.806006,3.680600
19:54:22.949508,5.023500
19:54:23.092507,6.457800
19:54:23.234984,7.880100
19:54:23.376754,9.299700
19:54:23.519290,10.723000
19:54:23.661476,12.144100
19:54:23.804263,13.571400
19:54:23.946077,14.995300
19:54:24.086939,16.403700
19:54:24.229826,17.829900
19:54:24.372804,19.257700
19:54:24.515180,20.683099
19:54:24.657837,22.108099
19:54:24.798630,23.522600
19:54:24.938947,24.918500
19:54:25.080991,26.249701
19:54:25.218691,27.353900
19:54:25.357820,28.267401
19:54:25.499273,28.997000
19:54:25.638965,29.525000
19:54:25.776146,29.855099
19:54:25.916173,29.995200
system_time,axis_1_position_mm
19:54:26.211580,29.942200
19:54:26.353299,29.692001
19:54:26.493277,29.244400
19:54:26.631898,28.606900
19:54:26.772034,27.768500
19:54:26.911512,26.740900
19:54:27.050441,25.531799
19:54:27.176370,24.272099
19:54:27.315992,22.881300
19:54:27.455861,21.492000
19:54:27.594878,20.101700
19:54:27.717744,18.807300
19:54:27.856928,17.475900
19:54:27.998453,16.066800
19:54:28.137884,14.661501
19:54:28.276445,13.287801
19:54:28.416230,11.887500
19:54:28.637040,9.681500
19:54:28.774610,8.293300
19:54:28.914975,6.890800
19:54:29.051958,5.519700
19:54:29.191883,4.161400
19:54:29.329638,2.999600
19:54:29.468539,2.023300
19:54:29.607702,1.236900
19:54:29.747745,0.635200
19:54:29.886443,0.236900
19:54:30.025180,0.031300
