system_time,axis_1_position_mm
19:13:42.365151,0.000000
19:13:42.467890,-0.060300
19:13:42.582886,-0.237200
19:13:42.691786,-0.457000
19:13:42.801981,-0.678900
19:13:42.913330,-0.894300
19:13:43.024937,-1.120100
19:13:43.133439,-1.338700
19:13:43.245096,-1.565300
19:13:43.355807,-1.784500
19:13:43.465235,-1.997700
19:13:43.575337,-2.228800
19:13:43.686851,-2.455400
19:13:43.812911,-2.691000
19:13:43.913344,-2.907300
19:13:44.024802,-3.128900
19:13:44.145165,-3.356100
19:13:44.255243,-3.572300
19:13:44.362304,-3.792000
19:13:44.464345,-4.011300
19:13:44.574336,-4.234000
19:13:44.685385,-4.454900
19:13:44.796308,-4.678300
19:13:44.907701,-4.901700
19:13:45.019308,-5.119200
19:13:45.132826,-5.335300
19:13:45.250950,-5.558800
19:13:45.362393,-5.786200
19:13:45.462764,-6.005800
19:13:45.587985,-6.255100
19:13:45.695951,-6.473900
19:13:45.823018,-6.695800
19:13:45.933543,-6.934500
19:13:46.033769,-7.152300
19:13:46.154748,-7.374000
19:13:46.265818,-7.609500
19:13:46.379404,-7.830200
19:13:46.488823,-8.052200
19:13:46.615879,-8.314500
19:13:46.725925,-8.536500
19:13:46.836814,-8.764400
19:13:46.950844,-8.985400
19:13:47.073298,-9.206100
19:13:47.184099,-9.432100
19:13:47.295458,-9.655300
19:13:47.395697,-9.875200
19:13:47.505971,-10.095100
19:13:47.627829,-10.323800
19:13:47.738810,-10.542600
19:13:47.850987,-10.758500
19:13:47.951713,-10.982900
19:13:48.071388,-11.214600
19:13:48.181315,-11.427400
19:13:48.282278,-11.646100
19:13:48.391714,-11.868400
19:13:48.512722,-12.097100
19:13:48.624114,-12.317900
19:13:48.734205,-12.532800
19:13:48.848908,-12.760800
19:13:48.955365,-12.990601
19:13:49.074197,-13.213100
19:13:49.177608,-13.436099
19:13:49.298827,-13.663699
19:13:49.401288,-13.885100
19:13:49.525821,-14.118300
19:13:49.635829,-14.342700
19:13:49.746527,-14.563000
19:13:49.866675,-14.789500
19:13:49.967122,-15.019701
19:13:50.078259,-15.240900
19:13:50.198314,-15.462500
19:13:50.302820,-15.680299
19:13:50.412326,-15.902000
19:13:50.535825,-16.138400
19:13:50.648326,-16.360400
19:13:50.748726,-16.577299
19:13:50.867256,-16.798900
19:13:50.984377,-17.033800
19:13:51.092266,-17.253200
19:13:51.203387,-17.471400
19:13:51.313824,-17.695100
19:13:51.424789,-17.914799
19:13:51.536018,-18.143600
19:13:51.645916,-18.371300
19:13:51.756512,-18.588200
19:13:51.867837,-18.811301
19:13:51.977482,-19.037000
19:13:52.089122,-19.260600
19:13:52.198923,-19.483299
19:13:52.313702,-19.709100
19:13:52.427680,-19.925900
19:13:52.532882,-20.145500
19:13:52.644346,-20.364999
19:13:52.753941,-20.574699
19:13:52.880916,-20.816100
19:13:52.981374,-21.043600
19:13:53.087947,-21.254900
19:13:53.195941,-21.474100
19:13:53.305579,-21.703600
19:13:53.420334,-21.920399
19:13:53.541673,-22.154800
19:13:53.643817,-22.369200
19:13:53.761950,-22.590300
19:13:53.872096,-22.811501
19:13:53.981850,-23.039799
19:13:54.091727,-23.253200
19:13:54.201450,-23.474500
