system_time,axis_1_position_mm
19:24:28.995150,0.000000
19:24:29.106482,-0.058300
19:24:29.210599,-0.241800
19:24:29.326162,-0.544200
19:24:29.432553,-0.974800
19:24:29.538356,-1.517200
19:24:29.650478,-2.172100
19:24:29.768041,-2.981700
19:24:29.882985,-3.951600
19:24:29.995284,-5.004500
19:24:30.104279,-6.094000
19:24:30.215052,-7.212100
19:24:30.325302,-8.295600
19:24:30.436013,-9.397300
19:24:30.536694,-10.499800
19:24:30.646935,-11.586100
19:24:30.770669,-12.710200
19:24:30.871203,-13.828900
19:24:30.980186,-14.944800
19:24:31.102893,-16.097701
19:24:31.214055,-17.202000
19:24:31.328594,-18.380701
19:24:31.435221,-19.472900
19:24:31.544269,-20.568500
19:24:31.657319,-21.663400
19:24:31.772791,-22.778900
19:24:31.877919,-23.868300
19:24:31.989264,-25.012801
19:24:32.105911,-26.061099
19:24:32.210636,-26.984100
19:24:32.329399,-27.804599
19:24:32.434292,-28.477600
19:24:32.545417,-29.028500
19:24:32.656397,-29.451999
19:24:32.766271,-29.759399
19:24:32.877942,-29.939801
19:24:32.987431,-30.000000
system_time,axis_1_position_mm
19:24:33.130078,-29.998199
19:24:33.235942,-29.916199
19:24:33.346356,-29.710699
19:24:33.458105,-29.378101
19:24:33.582620,-28.931000
19:24:33.688993,-28.351801
19:24:33.791126,-27.675400
19:24:33.898961,-26.861099
19:24:34.009502,-25.917899
19:24:34.131109,-24.836700
19:24:34.241600,-23.720900
19:24:34.345033,-22.616200
19:24:34.455196,-21.505400
19:24:34.579334,-20.364200
19:24:34.690134,-19.263901
19:24:34.801092,-18.148801
19:24:34.910380,-17.036900
19:24:35.022663,-15.921100
19:24:35.134498,-14.820799
19:24:35.245910,-13.708900
19:24:35.367377,-12.610800
19:24:35.477874,-11.379900
19:24:35.578521,-10.298300
19:24:35.687269,-9.217300
19:24:35.809791,-8.066300
19:24:35.910448,-6.985400
19:24:36.019640,-5.873900
19:24:36.142867,-4.767100
19:24:36.244499,-3.645300
19:24:36.363818,-2.537800
19:24:36.475380,-1.385600
19:24:36.584922,-0.302900
19:24:36.695726,0.809500
19:24:36.796178,1.875600
19:24:36.917560,3.026700
19:24:37.018032,4.093800
19:24:37.134058,5.205300
19:24:37.238835,6.304400
19:24:37.359548,7.441100
19:24:37.459988,8.524900
19:24:37.569607,9.606000
19:24:37.677801,10.712300
19:24:37.802933,11.867900
19:24:37.903274,12.946700
19:24:38.011818,14.034700
19:24:38.134870,15.203500
19:24:38.243875,16.273500
19:24:38.344082,17.354500
19:24:38.452379,18.463100
19:24:38.563358,19.573300
19:24:38.674789,20.672000
19:24:38.798889,21.856200
19:24:38.909440,22.967599
19:24:39.020602,24.061301
19:24:39.121087,25.127100
19:24:39.237862,26.140100
19:24:39.338745,27.034399
19:24:39.446784,27.817200
19:24:39.556513,28.511401
19:24:39.672241,29.046399
19:24:39.781207,29.470901
19:24:39.891765,29.768100
19:24:40.009862,29.944699
system_time,axis_1_position_mm
19:24:40.142531,29.998099
19:24:40.256437,29.907999
19:24:40.369659,29.702499
19:24:40.485377,29.379001
19:24:40.587978,28.927600
19:24:40.698594,28.366101
19:24:40.808805,27.672900
19:24:40.924576,26.829300
19:24:41.045548,25.809900
19:24:41.156918,24.749800
19:24:41.268120,23.637100
19:24:41.379188,22.439500
19:24:41.490008,21.335201
19:24:41.617532,20.137100
19:24:41.726415,19.053500
19:24:41.827243,17.980499
19:24:41.938240,16.873399
19:24:42.046796,15.765199
19:24:42.169600,14.628799
19:24:42.280255,13.514400
19:24:42.392625,12.386900
19:24:42.501986,11.282900
19:24:42.614887,10.144900
19:24:42.724191,8.992400
19:24:42.839273,7.880900
19:24:42.945846,6.782600
19:24:43.056861,5.695400
19:24:43.172834,4.598900
19:24:43.281421,3.608600
19:24:43.393498,2.737600
19:24:43.502095,1.982600
19:24:43.611871,1.350700
19:24:43.721723,0.846400
19:24:43.832156,0.457700
19:24:43.940668,0.181800
19:24:44.043405,0.033800
